size,density,noise_level,negative_values,algorithm,negative_cycle,seconds,total_pairs,reachable_pairs,reachable_ratio,positive_pairs,positive_ratio,neg_inf_pairs,mean,median,min,max
100,0.8,0.0,False,dijkstra,False,0.14236649998929352,9900,9900,1.0,9900,1.0,0,512.5890909090909,505.0,13.0,1242.0
100,0.8,0.0,True,bellman-ford,False,0.1370284000877291,9900,9900,1.0,9900,1.0,0,512.5890909090909,505.0,13.0,1242.0
100,0.8,0.1,False,dijkstra,False,0.14324490004219115,9900,9900,1.0,9900,1.0,0,556.6659595959596,549.0,28.0,1265.0
100,0.8,0.1,True,bellman-ford,True,0.0011730000842362642,0,0,0.0,0,0.0,0,nan,nan,nan,nan
100,0.8,0.5,False,dijkstra,False,0.14591169997584075,9900,9900,1.0,9900,1.0,0,681.2401010101011,682.0,39.0,1348.0
100,0.8,0.5,True,bellman-ford,True,0.0005818000063300133,0,0,0.0,0,0.0,0,nan,nan,nan,nan
100,0.8,0.8,False,dijkstra,False,0.14864089991897345,9900,9900,1.0,9900,1.0,0,754.6404040404041,761.5,46.0,1411.0
100,0.8,0.8,True,bellman-ford,True,0.00030880002304911613,0,0,0.0,0,0.0,0,nan,nan,nan,nan
100,1.0,0.0,False,dijkstra,False,0.18171180004719645,9900,9900,1.0,9900,1.0,0,510.6440404040404,504.0,4.0,1242.0
100,1.0,0.0,True,bellman-ford,False,0.16960570006631315,9900,9900,1.0,9900,1.0,0,510.6440404040404,504.0,4.0,1242.0
100,1.0,0.1,False,dijkstra,False,0.17777189996559173,9900,9900,1.0,9900,1.0,0,546.8446464646464,541.0,21.0,1265.0
100,1.0,0.1,True,bellman-ford,True,0.0005148999625816941,0,0,0.0,0,0.0,0,nan,nan,nan,nan
100,1.0,0.5,False,dijkstra,False,0.17870219994802028,9900,9900,1.0,9900,1.0,0,652.1630303030303,650.0,39.0,1348.0
100,1.0,0.5,True,bellman-ford,True,0.0005005000857636333,0,0,0.0,0,0.0,0,nan,nan,nan,nan
100,1.0,0.8,False,dijkstra,False,0.1825384000549093,9900,9900,1.0,9900,1.0,0,715.7495959595959,720.0,46.0,1411.0
100,1.0,0.8,True,bellman-ford,True,0.00028469995595514774,0,0,0.0,0,0.0,0,nan,nan,nan,nan
200,0.2,0.0,False,dijkstra,False,0.32282060000579804,39800,39800,1.0,39800,1.0,0,558.7392713567839,545.0,11.0,1242.0
200,0.2,0.0,True,bellman-ford,False,0.36548250005580485,39800,39800,1.0,39800,1.0,0,558.7392713567839,545.0,11.0,1242.0
200,0.2,0.1,False,dijkstra,False,0.3144656999502331,39800,39800,1.0,39800,1.0,0,649.4022613065326,643.0,26.0,1326.0
200,0.2,0.1,True,bellman-ford,True,0.002183699980378151,0,0,0.0,0,0.0,0,nan,nan,nan,nan
200,0.2,0.5,False,dijkstra,False,0.3207804000703618,39800,39800,1.0,39800,1.0,0,897.257311557789,911.0,47.0,1753.0
200,0.2,0.5,True,bellman-ford,True,0.0008279999019578099,0,0,0.0,0,0.0,0,nan,nan,nan,nan
200,0.2,0.8,False,dijkstra,False,0.319712599972263,39800,39800,1.0,39800,1.0,0,1038.1510301507537,1058.0,49.0,1938.0
200,0.2,0.8,True,bellman-ford,True,0.0007085000397637486,0,0,0.0,0,0.0,0,nan,nan,nan,nan
200,0.5,0.0,False,dijkstra,False,0.7284623999148607,39800,39800,1.0,39800,1.0,0,520.3441959798995,510.0,8.0,1242.0
